,One bedroom apartment outside of city centre,Three bedroom apartment outside of city centre,"Basic utilities for 85 square meter Apartment including Electricity, Heating or Cooling, Water and Garbage","Internet, 60 Mbps or More, Unlimited Data, Cable/ADSL"
Fremont,2268.8,3100.0,172.06,60.83
Columbia,1467.5,2091.75,142.88,61.15
San Francisco,2695.6,4524.14,159.12,69.99
San Jose,2322.79,3711.16,129.86,58.72
Irvine,1988.57,3024.53,145.46,68.87
Madison,947.95,1597.1,118.72,56.99
Seattle,30.0,25000.0,,
Overland Park,815.83,1437.5,71.57,1.21
Huntington Beach,3.5,0.04,,
San Diego,1729.94,2894.6,132.22,63.76
Fargo,30.0,26000.0,,
Minneapolis,1136.56,1760.65,172.25,60.63
Bismarck,700.0,1366.67,30.0,4.66
Santa Rosa,4.5,71.33,,
Santa Clarita,1934.38,2652.45,163.36,62.5
Oakland,2140.31,3400.0,179.51,65.95
Sioux Falls,785.0,1300.0,178.33,65.88
Glendale,20.0,20900.0,,
Scottsdale,1782.0,5.14,1.59,36.25
Anaheim,3.5,0.22,,
Aurora,930.0,1837.5,171.05,55.5
Plano,1099.38,1866.67,150.9,63.51
Oxnard,1633.33,2637.5,1.7,31.67
Garden Grove,1433.33,2400.0,145.46,50.0
Charleston,1372.6,1793.75,207.43,61.53
Raleigh,27.5,22000.0,,
Honolulu,1618.92,3106.59,267.53,60.95
Cedar Rapids,662.5,1150.0,68.75,1.67
Austin,1091.27,1848.89,140.86,62.61
Portland,1036.5,1712.5,120.73,64.16
Pearl City,15.0,0.94,,
Oceanside,1666.67,2357.14,148.78,69.88
Lincoln,783.22,1312.5,73.12,1.62
Boston,1912.55,2923.2,172.53,67.35
Santa Ana,1541.67,2681.25,145.4,72.86
Pembroke Pines,1216.67,2483.33,1.59,33.11
Burlington,1066.67,2.1,,
Jersey City,1430.0,1942.1,91.21,66.94
Yonkers,1470.0,2475.0,117.11,64.17
Chandler,1028.57,1407.14,157.23,74.38
Omaha,764.06,1375.0,186.63,78.57
Juneau,1133.33,1975.0,69.67,4.54
Sacramento,1313.91,1921.43,171.6,62.09
Cheyenne,730.0,1287.5,64.33,1.81
Virginia Beach,1095.91,1823.7,2.15,32.0
Peoria,852.5,1250.0,170.0,90.0
Tempe,854.29,1421.43,158.05,77.94
Los Angeles,1792.31,3011.3,143.39,66.55
Salt Lake City,1000.82,1519.23,139.75,63.04
Chicago,1266.56,2179.71,146.74,63.56
Denver,1318.47,2278.46,140.95,62.53
New York,2010.53,3482.68,148.86,64.06
Anchorage,45.0,28000.0,,
Long Beach,1452.07,2388.33,103.28,62.86
Nashua,1305.0,1666.67,30.0,4.16
Boise,976.86,1453.0,148.15,61.15
Colorado Springs,985.64,1560.39,125.11,67.0
Pittsburgh,944.54,1478.62,189.86,72.96
Fort Lauderdale,1372.58,2456.86,123.97,60.19
Charlotte,1058.32,1772.49,143.63,59.61
Chesapeake,77.5,3.97,,
Rancho Cucamonga,1486.0,2662.5,153.16,56.0
Rapid City,4.05,3.25,,
Missoula,943.75,1464.29,4.22,3.0
Durham,1203.47,1527.78,62.31,1.19
Miami,24.0,23500.0,,
Des Moines,858.23,1189.86,160.62,75.55
Reno,1243.27,2073.33,57.24,1.68
Casper,1011.29,2.33,15.0,4.25
Tampa,1071.78,1685.41,158.49,61.26
Tacoma,1195.79,1806.43,208.62,71.0
Vancouver,1051.11,1697.14,164.96,60.75
Washington,1838.92,3280.31,151.6,61.32
Port St. Lucie,987.5,1462.5,59.14,1.6
Mesa,824.88,1266.25,71.25,1.39
Providence,1731.75,1618.0,195.98,84.71
Irving,972.75,2100.14,25.0,4.25
Manchester,1188.75,1741.67,194.59,84.71
Orlando,30.0,23147.5,,
Grand Rapids,937.0,1509.09,67.62,1.69
Atlanta,1103.91,2050.26,167.95,71.92
Hialeah,1133.33,2100.0,1.0,25.0
Tallahassee,828.12,1355.56,1.36,28.75
Garland,900.0,1262.5,52.25,1.07
Henderson,1127.0,1498.7,175.63,86.29
Fontana,1174.5,1595.0,62.86,1.62
St. Petersburg,958.59,1613.64,127.58,65.78
Modesto,1049.0,1865.0,1.38,30.0
Fort Worth,967.94,1460.77,175.12,61.17
Riverside,1372.88,2021.43,211.15,65.0
Billings,1056.43,1854.29,64.86,1.39
Spokane,766.0,1300.53,147.42,63.04
Arlington,946.43,1655.4,1.52,30.75
Nashville,1168.59,1752.95,165.83,69.41
Worcester,1091.67,1675.0,1.8,24.0
Dallas,1054.25,1836.69,150.9,63.51
Houston,970.07,1646.15,158.38,62.92
Norfolk,1123.4,1500.0,71.0,1.31
Milwaukee,933.08,1273.33,138.27,62.89
Laredo,71.25,4.4,,
Wilmington,980.0,1366.67,139.53,65.43
Tucson,661.74,1217.52,229.28,68.31
New Haven,1594.31,2150.0,70.25,1.82
Phoenix,996.76,1581.68,170.54,79.52
El Paso,18.0,21845.0,,
Albuquerque,676.58,1256.25,142.45,69.75
Stockton,1030.62,1734.38,205.42,56.88
Fresno,32.0,24000.0,,
Brownsville,487.5,1050.0,71.25,2.19
Bakersfield,800.0,1200.0,222.26,76.67
Jacksonville,998.62,1351.06,141.09,71.18
Las Cruces,648.12,1062.5,130.79,61.12
Winston-Salem,1271.43,1930.0,41.88,1.38
San Antonio,891.93,1531.82,157.78,66.0
Rochester,1083.33,1516.67,1.5,28.0
Newark,1000.0,1200.0,65.43,1.5
Las Vegas,927.43,1578.33,165.16,77.31
Columbus,475.0,966.67,124.99,53.45
Buffalo,789.16,1169.23,192.08,65.17
Greensboro,771.89,1478.57,62.36,1.47
Corpus Christi,947.09,1412.78,62.61,1.25
Huntsville,633.64,1181.25,146.0,61.79
Philadelphia,1116.04,1704.24,153.02,63.57
Wichita,572.22,915.38,199.7,63.66
Amarillo,651.56,2.5,1.25,15.0
Lewiston,1.0,8.0,,
Salem,888.57,1531.25,212.86,66.4
Newport News,906.25,1225.0,61.32,1.12
New Orleans,23.0,26000.0,,
Oklahoma City,862.38,1228.94,155.95,69.41
Baltimore,1058.35,1840.0,142.88,74.66
Richmond,1150.0,3.67,,
Dover,941.67,1122.22,4.54,
San Bernardino,22000.0,61.0,,
Cincinnati,813.2,1358.93,129.74,55.57
Fort Wayne,606.11,950.0,54.33,1.37
Springfield,26.0,20500.0,,
Lubbock,650.0,1022.95,107.08,64.25
Baton Rouge,838.21,1327.18,141.37,69.53
Louisville,840.19,1450.0,145.45,53.86
Indianapolis,782.99,1175.59,156.6,63.5
St. Louis,697.14,1317.86,171.43,59.67
Tulsa,806.71,1083.33,69.35,1.62
Little Rock,693.75,1100.0,157.04,62.44
Knoxville,829.17,1300.0,134.41,62.82
Akron,20.0,19500.0,,
Chattanooga,899.9,1382.73,176.58,66.19
Fayetteville,807.0,1771.43,3.67,3.21
Jackson,835.0,1130.0,197.66,78.83
Birmingham,839.23,1163.45,196.43,68.56
Toledo,597.5,956.25,219.29,61.36
Shreveport,3.5,0.1,,
Mobile,14.5,31217.5,,
Fort Smith,983.33,2.66,,
Augusta,813.33,1221.43,161.11,72.88
Cleveland,934.79,1342.31,197.18,61.75
Montgomery,828.5,1175.0,25.0,4.52
Huntington,555.0,850.0,145.45,53.86
Memphis,847.8,1107.33,157.71,72.67
Gulfport,10.0,23995.0,,
Detroit,1164.6,1500.0,160.74,57.8
